Cosine_Similarity,Jaccard_Similarity,Token_Overlap,BLEU_Score,ROUGE_L
0.6041039082069226,0.23267326732673269,0.6206896551724138,0.1529961750956226,0.07978179338561199
0.669161169487698,0.20081967213114754,0.7418300653594772,0.09353110836423568,0.07537504573728504
0.6715485242202195,0.19077568134171907,0.768,0.07868852459016394,0.058736059479553904
0.6703852789576297,0.11683168316831684,0.6972972972972973,0.06142857142857143,0.05251641137855579
0.6447972701444245,0.14414414414414414,0.5503355704697986,0.06876310272536687,0.06187103988073052
0.6359360632298601,0.24958402662229617,0.6,0.1594142259414226,0.0747107438016529
0.608439617098604,0.18329938900203666,0.6765432098765433,0.12437585111211984,0.08972392638036811
0.7247244637412326,0.15637860082304528,0.7715736040609137,0.06421630756231517,0.057722308892355696
0.6861478042220375,0.2484725050916497,0.7076566125290024,0.12718932443703085,0.09826793920113112
0.6370446438535646,0.17551020408163265,0.6444444444444445,0.11017306880540312,0.083633741888969
0.5787003169755827,0.12830957230142567,0.6113989637305699,0.05084015510555795,0.042163882259347654
0.6324891327674294,0.1510791366906475,0.514018691588785,0.053816046966731895,0.044286979627989366
0.6435425302029112,0.1091314031180401,0.6408450704225352,0.05472038484666266,0.04986149584487535
0.629192275987742,0.13267326732673268,0.6818181818181818,0.07825040128410915,0.06551475881929446
0.6925804031675022,0.23971377459749552,0.6956521739130435,0.17687074829931973,0.10305084745762712
0.6408093507224684,0.18518518518518517,0.7276264591439688,0.09862869198312237,0.07152810032512773
0.6419143049233011,0.16898608349900596,0.6842105263157895,0.0904625460499386,0.06941431670281996
0.7223717619250246,0.16666666666666666,0.8211920529801324,0.05258693808312129,0.0502192108409725
0.6271530321783032,0.2465034965034965,0.5858267716535434,0.1570945945945946,0.07925407925407926
0.6538540229792403,0.13229571984435798,0.8387096774193549,0.05772646536412078,0.05068550062318238
0.6354210369943576,0.1222707423580786,0.631578947368421,0.04580152671755725,0.04181494661921708
0.683583807786788,0.25691699604743085,0.6215139442231076,0.14613583138173303,0.08873720136518772
0.6102095832172686,0.17307692307692307,0.7216494845360825,0.05782734407269723,0.052007648183556396
0.7769591585358202,0.15637860082304528,0.8542713567839196,0.07910656119125174,0.0715502555366269
0.8314913430602191,0.09885057471264368,0.9,0.05032258064516129,0.06680244399185337
0.5649749807716719,0.17702448210922786,0.6851063829787234,0.07184292726461401,0.058158319870759284
0.7652108872026877,0.21241050119331742,0.756578947368421,0.09862778730703259,0.11911987860394538
0.8386865201505438,0.17456896551724138,0.782051282051282,0.0804042179261863,0.099601593625498
0.7684307048284386,0.19205298013245034,0.78839590443686,0.10875706214689265,0.1381878361605296
0.7168743056396264,0.30998248686514884,0.8528138528138528,0.2552915766738661,0.23936170212765956
